Affiliate,Example,Calls,State,Market,Program Name,Location,Time,Rate
CBS,Example Intake form,WNCT,North Carolina,Greenville-New Bern-Washington,102,LifeStyle Segment,"Satellite, Studio",$800
NBC,Example,WCMH,Ohio,Columbus,33,LifeStyle Segment,"Satellite, Studio",$1500
CW,Example Intake form,KDAF,Texas,Dallas-Ft Worth,5,LifeStyle Segment,"Satellite, Studio",$3500
CW,Example,KWBQ,New Mexico,Albuquerque,49,LifeStyle Segment,"Satellite, Studio",$1000
NBC,Example,WHO,Iowa,Des Moines-Ames,68,LifeStyle Segment,"Satellite, Studio",$1000
ABC,Example,WKRN,Tenesee,Nashville,100,LifeStyle Segment,"Satellite, Studio",$2000
CW,Example,KIAH,TEXAS,HOUSTON,9,LifeStyle Segment,"Satellite, Studio",$3000
Fox,Example,KHON,HI,Honolulu,65,LifeStyle Segment,"Satellite, Studio",$2500
Fox,Example,KTVI,MO,St. Louis,23,LifeStyle Segment,"Satellite, Studio",$1500
CBS,Example,WHBF,Illinois,Davenport,100,LifeStyle Segment,"Zoom",$400
CBS,Example,KLBK,Texas,Lubbock,146,LifeStyle Segment,"Satellite, Studio",$750
CBS,Example,WBTW,SC-NC,Myrtle Beach-Florence,101,LifeStyle Segment,"Satellite, Studio",$500
CW,Example Intake form,KTLA,CA,Los Angeles,2,LifeStyle Segment,"Satellite, Studio",$15500
Fox,Example,WQRF,Illinois,Rockford,139,LifeStyle Segment,"Satellite, Studio",$1000
Fox,Example,WJW,Ohio,Cleveland,19,LifeStyle Segment,"Satellite, Studio",$5000
ABC,Example,KTVX,UTAH,Salt Lake City,29,LifeStyle Segment,"Satellite, Studio",$3000
NBC,Example Intake form,KGET,CALIFORNIA,BAKERSFIELD,126,LifeStyle Segment,"Satellite, Studio",$400
CBS,Example,WMBD,Illinois,Peoria-Bloomington,123,LifeStyle Segment,"Satellite, Studio",$500
NBC,Example,KXAN,Texas,Austin,40,LifeStyle Segment,"Satellite, Studio",$2000
Fox,Example,NRQE,New Mexico,Albuquerque,49,LifeStyle Segment,"Satellite, Studio",$1000
CBS,Example,KELO,South Dakota,Sioux Falls,100,LifeStyle Segment,"Satellite, Studio",$600
CBS,Example,WNCN,North Carolina,Raleigh,24,LifeStyle Segment,"Satellite, Studio",$2000
CW,Example,WPIX,New York,New York,1,LifeStyle Segment,"Satellite, Studio",$12500
ABC,Example Intake form,KTNV,Nevada,Las Vegas,40,Tampa Morning Blend,"Satellite, Studio",$850
ABC,Example Intake form,WSYR,New York,Syracuse,87,LifeStyle Segment,"Satellite, Studio",$500
CBS,Example,KLAS,Nevada,Las Vegas,40,LifeStyle Segment,"Satellite, Studio",$1500
NBC,Example Intake form,WFLA,FL,Tampa,13,LifeStyle Segment,"Satellite, Studio",$2500
